,BHD91-MD,BK83-LGN,O52-AD,O52-Al,O52-AM,O52-AN,O52-AV,O52-CAUD,O52-Cdc,O52-CIF,O52-CIM,O52-Cl,O52-CLAU,O52-CLC,O52-Cld,O52-CN.MD,O52-CS,O52-Csl,O52-GL,O52-GLd,O52-GLV,O52-GLVC,O52-GLVO,O52-GM,O52-GMmc,O52-GMPC,O52-H,O52-Hl,O52-HLMC,O52-HLPC,O52-Hm,O52-IL,O52-LD,O52-Li,O52-LP,O52-MD,O52-MDDC,O52-MDMC,O52-MDMF,O52-MDPC,O52-ML,O52-PA,O52-Pac,O52-PCN,O52-Pf,O52-Pt,O52-PUL,O52-Pul.i,O52-PUL.L,O52-Pul.m,O52-PUL.O,O52-R,O52-RE,O52-Ro,O52-SG,O52-SO,O52-VA,O52-VAMC,O52-VAPC,O52-VL,O52-VLc,O52-VLM,O52-VLO,O52-VLps,O52-VP,O52-VPI,O52-VPL,O52-VPLC,O52-VPLO,O52-VPM,O52-VPMPC,O52-X,O52-ZI,O52-ZIC,R00-A1,R00-A2,R00-AMYG,R00-CCA,R00-CCP,R00-CCR,R00-CCS,R00-FEF,R00-G,R00-HC,R00-IA,R00-IP,R00-M1,R00-PCD,R00-PCI,R00-PCIP,R00-PCM,R00-PCS,R00-PFCCL,R00-PFCD,R00-PFCDL,R00-PFCDM,R00-PFCM,R00-PFCORB,R00-PFCPOL,R00-PFCVL,R00-PHC,R00-PMCDL,R00-PMCM,R00-PMCVL,R00-S1,R00-S2,R00-TCC,R00-TCI,R00-TCPOL,R00-TCS,R00-TCV,R00-TOC,R00-V1,R00-V2
O52-ZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,0,0,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,
O52-ZIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,0,0,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,
R00-A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,2,2,0,2,2,,,3,0,0,2,0,0,0,0,0,2,0,0,2,3,0,2,2,0,0,0,0,0,2,,2,3,2,,,0
R00-A2,0,0,,,,,,,,,,,,,,,,,0,0,,,,2,,,,,,,,,,0,,0,0,0,0,0,,,,,,,2,0,2,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,2,,0,2,0,2,1,,,3,0,0,2,1,1,0,0,2,2,0,0,2,3,2,2,1,2,2,0,0,,2,,2,2,1,0,,0
R00-AMYG,3,,,,,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,0,,,,3,,3,,,0,,,0,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,2,2,,,2,0,,,2,2,0,1,1,1,,1,0,,,,2,2,0,,2,0,0,,,,1,1,1,1,2,3,2,1
R00-CCA,3,0,0,,2,2,0,,2,2,2,0,2,2,,2,2,2,0,0,,,,0,0,0,0,0,0,0,0,2,0,2,0,3,0,3,0,3,2,2,,2,2,2,2,0,0,0,0,2,2,,0,,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,3,1,2,,2,3,2,1,1,1,1,1,3,2,3,3,3,2,2,2,1,1,3,1,0,2,2,0,2,0,1,0,0,1
R00-CCP,1,0,,,2,2,2,,0,0,,0,,0,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,2,0,2,1,,0,,,0,0,,0,0,,2,0,0,2,0,0,0,,0,,0,0,,2,2,0,2,0,0,0,0,0,0,0,0,0,,,0,0,0,2,2,2,2,1,2,,2,0,2,1,1,1,2,3,3,2,2,,2,2,0,2,2,0,0,0,0,0,2,0,0,2,1,0,0,0
R00-CCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,1,2,,,2,2,0,3,1,1,3,3,2,2,2,,1,3,1,0,1,0,0,0,,,,,1,,1,,,
R00-CCS,1,0,0,,0,0,0,,0,0,,0,,0,,0,0,0,0,0,,,,0,0,0,,,,,,0,0,,0,1,0,0,0,1,0,0,,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,2,0,0,,3,2,0,1,0,0,0,1,2,3,3,0,2,2,2,2,2,0,0,0,0,0,2,0,2,0,3,0,0,1
R00-FEF,3,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,3,,0,3,0,,,,,,,2,,,,,,,,,,3,3,,2,,,2,,,,,,,,,,,,0,2,,1,2,0,0,2,,,1,0,0,2,2,2,2,2,2,3,2,0,0,3,0,3,1,3,3,0,,,3,2,0,2,1,2,0,2
R00-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,0,0,0,0,2,,,,,0,2,2,,0,0,0,0,,0,0,,0,,,,,2,2,,,0,0,0,,,0
R00-HC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,0,,,2,2,,,,,,,0,0,0,,2,2,0,,2,,,,,,0,0,0,,0,,,
R00-IA,2,,0,,2,2,0,,,2,,0,,,,0,0,0,,,,,,,,0,,,,,,0,0,,0,2,0,2,0,0,2,0,,0,,,0,0,0,,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,,2,0,0,2,2,2,,3,3,2,2,1,1,1,2,2,2,2,0,2,2,3,2,2,1,1,1,2,0,2,0,1,2,1,0,,1
R00-IP,2,0,0,,2,0,0,,0,0,2,0,,,,0,2,0,0,0,,,,0,0,0,,,,,,2,0,2,0,2,0,2,0,0,2,2,,0,0,2,2,0,2,3,0,0,2,,2,,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,1,2,0,3,2,2,,3,3,2,2,1,1,1,2,2,2,2,0,3,1,2,3,2,3,3,1,2,2,2,2,2,0,2,0,,1
R00-M1,2,,0,,,0,0,,,,,2,,,,2,,,,,,,,,,,,,,,,2,0,,2,2,0,0,0,0,0,0,,0,0,,2,,,2,2,2,,,,,0,0,,2,2,2,2,2,2,2,2,2,2,2,0,2,,,0,0,,2,1,0,0,0,,,0,,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,2,2,3,2,2,0,0,0,0,0,0,0,0
R00-PCD,1,0,0,,0,0,0,,0,,0,2,,0,,0,0,2,0,0,,,,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,,0,0,,2,2,2,2,2,2,0,,0,,0,0,,2,2,0,0,0,2,0,2,2,0,0,0,0,,,0,2,0,1,1,3,2,2,0,,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,3,2,1,2,2,2,2,0,2,2,2,0,2
R00-PCI,2,0,0,,0,0,0,,0,0,0,1,2,0,,2,0,1,0,0,,,,2,0,0,0,0,0,0,0,1,1,0,2,2,2,0,0,0,0,0,,1,0,,3,1,3,3,1,2,0,,2,,0,0,,1,2,2,2,1,2,2,2,2,0,2,2,2,,,0,2,0,0,0,1,0,2,2,,2,3,0,1,3,3,1,1,2,0,3,0,0,3,3,2,1,3,2,1,2,3,1,2,2,2,1,2,2,2
R00-PCIP,2,0,0,,0,0,0,,0,,0,1,2,0,,2,0,1,0,0,,,,2,0,0,0,0,0,0,0,2,1,0,2,2,2,0,0,0,0,0,,1,0,,3,1,2,3,2,2,0,,2,,0,0,,1,2,2,2,1,2,2,2,2,0,2,2,2,,,0,2,0,2,2,1,0,2,2,,2,2,2,1,3,3,1,2,3,3,3,0,0,2,2,2,1,3,2,1,2,2,2,2,0,2,1,1,2,2
R00-PCM,2,0,,,,,,,,,,2,,,,0,,2,0,0,,,,0,,,0,,,,,2,0,0,2,2,0,0,0,0,,,,0,0,,2,0,0,2,2,2,,,0,,,,,2,2,,,0,2,0,2,0,0,0,0,,,,0,2,,2,1,3,0,2,0,,1,1,2,2,1,1,2,2,2,2,0,0,0,0,0,2,0,3,2,1,0,0,2,0,0,0,0,0,0,2
R00-PCS,1,0,0,,0,0,0,,0,,0,2,,0,,0,0,2,0,0,,,,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,,0,0,,2,2,2,2,2,2,0,,0,,0,0,,2,2,0,0,0,2,0,2,2,0,0,0,0,,,0,2,0,1,1,3,2,2,0,,1,2,2,2,1,1,2,2,2,2,2,0,2,2,2,2,2,3,2,1,2,0,2,2,0,2,2,2,0,2
R00-PFCCL,2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,2,0,3,,2,,0,0,2,,,,2,,,2,0,1,3,,0,,,0,,2,2,,2,2,2,0,,0,0,0,,0,0,0,2,,,,2,,3,2,2,2,2,2,,2,2,0,3,0,1,2,3,2,2,2,,2,2,2,3,1,2,2,3,2,2,1,0,2,1,1,2,0,3
R00-PFCD,3,0,0,,,0,0,,,0,,0,,,,0,0,0,0,0,,,,0,,0,,,,,,0,0,2,0,3,3,0,0,2,0,0,,0,0,,1,0,1,1,0,0,,,0,,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,2,,3,2,2,3,2,,,2,0,0,2,1,1,2,2,2,2,2,0,2,3,2,3,1,2,2,3,,,1,0,0,2,1,0,0,3
R00-PFCDL,0,0,0,,,0,0,,,0,,0,,,,0,0,0,0,0,,,,0,,0,,,,,,0,0,3,0,0,3,0,0,2,0,0,,0,0,,0,0,1,3,0,0,,,0,,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,,3,0,2,2,0,,,2,2,0,2,1,1,2,2,2,2,2,0,2,3,3,3,1,2,2,3,,,1,0,0,1,1,0,0,3
R00-PFCDM,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,0,0,0,0,,,0,0,0,0,0,0,,0,2,2,2,,0,0,0,0,0,2,2,0,,,0,0,0,0,0,0,,0
R00-PFCM,1,0,0,,0,0,0,,0,0,,0,,0,,0,0,0,0,0,,,,0,0,0,,,,,,0,0,,0,1,,2,0,1,0,0,,0,0,,0,0,,0,0,0,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,2,1,0,2,2,0,,3,2,0,0,0,0,0,0,2,3,3,0,2,2,2,2,2,0,0,0,0,0,2,0,2,0,3,0,0,0
R00-PFCORB,1,0,0,,2,2,0,,0,2,2,0,,,,0,2,0,0,0,,,,0,0,0,,,,,,2,0,2,0,1,0,2,0,1,2,2,,0,0,2,2,0,2,3,0,0,2,,2,,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,,3,1,0,3,2,2,,3,3,2,2,0,0,2,2,2,2,2,0,3,1,2,2,1,2,2,1,0,,2,2,3,2,1,0,,2
R00-PFCPOL,2,,0,,,0,0,,,0,,0,,,,,0,0,,,,,,,,0,,,,,,0,0,,0,2,0,2,0,2,0,0,,0,,,0,0,0,,0,0,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,3,1,0,3,2,2,,3,0,2,2,0,0,0,2,3,2,2,0,3,3,2,2,2,0,0,0,0,0,2,0,3,2,2,0,0,2
R00-PFCVL,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,2,,2,0,0,,,,0,,,2,,,,,,,,,,2,2,,2,,,2,,,,,,,,,,,,0,2,,1,0,0,2,2,,,2,2,0,2,1,1,2,2,2,2,2,,0,3,3,3,1,3,3,0,,,0,2,1,2,1,2,,2
R00-PHC,1,0,0,,0,2,2,,0,0,0,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,3,0,2,1,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,,2,3,2,1,1,0,2,2,0,2,1,1,0,1,2,2,1,2,2,2,2,0,2,2,2,2,1,0,0,2,0,0,2,2,2,2,2,2,2,2
R00-PMCDL,0,,,,,,,,,,,2,,,,2,0,0,,,,,,,,,,,,,,2,,,2,0,0,0,,0,,,,2,0,,2,,,,,2,,,,,2,3,,2,2,2,2,2,2,0,2,2,2,0,0,2,,,,2,,2,0,0,0,1,2,,1,1,2,2,1,1,2,2,2,2,2,,0,2,2,2,0,2,2,2,2,0,0,0,0,2,0,0,,2
R00-PMCM,0,,,,,,,,,,,2,,,,2,0,0,,,,,,,,,,,,,,2,,,2,0,0,0,,0,,,,0,0,,2,,,,,2,,,,,3,3,,2,2,2,2,2,2,0,2,2,2,0,0,0,,,,0,,2,0,0,0,1,2,,0,0,2,2,2,2,2,2,1,2,2,,0,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,,2
R00-PMCVL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,3,3,,2,,,2,,,,,,,,,,,,0,0,,1,0,0,0,0,,,1,2,2,2,1,1,0,2,2,2,2,0,0,2,2,1,0,2,2,2,0,2,0,0,0,0,0,0,0,2
R00-S1,0,0,0,,0,0,0,,,0,,0,,,,0,0,0,0,0,,,,0,,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,,0,0,0,3,0,0,0,3,0,,,0,,0,0,,0,0,0,0,0,2,0,2,2,2,0,0,0,,,0,0,,0,1,0,0,2,2,,1,2,2,1,1,1,0,2,2,0,0,,0,2,2,0,,2,2,2,2,2,0,,0,0,0,,,0
R00-S2,0,,,,,,,,,0,,0,,,,0,0,0,,,,,,0,,0,,,,,,0,,,,0,0,0,,,0,,,0,,,2,0,,0,2,,,,2,,,,,0,,0,,,3,3,3,3,,0,0,,,,0,0,,2,2,,0,0,2,,2,2,2,0,3,3,0,0,2,0,2,,0,3,3,2,1,1,2,3,2,2,0,,0,0,1,,,0
R00-TCC,2,0,,,0,0,0,,0,0,0,2,,0,,0,0,,0,0,,,,2,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,,2,0,,1,2,1,2,2,0,0,,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,2,1,0,2,0,2,2,,0,0,0,1,1,1,1,3,1,2,2,3,0,2,2,3,3,1,2,2,1,0,,1,3,2,1,2,1,1,2
R00-TCI,0,,,,,,,,0,,,,,0,,0,0,0,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,0,0,0,0,2,2,2,0,2,0,0,2,0,0,2,3,3,2,0,0,0,,,2,2,2,2,2,2,0,2
R00-TCPOL,1,0,,,,,,,0,,,0,,0,,0,0,2,0,0,,,,2,,,0,0,0,0,0,2,0,,0,3,0,1,0,3,2,0,,0,0,2,2,0,0,2,0,0,2,,0,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,0,0,2,2,0,0,2,2,0,,3,2,0,0,2,2,0,0,0,2,2,0,2,2,2,2,2,0,0,0,0,0,2,2,0,2,2,2,,2
R00-TCS,0,0,,,0,0,0,,0,0,0,2,,0,,0,0,0,0,0,,,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,2,0,,2,0,2,2,2,0,0,,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,2,0,0,2,0,2,2,0,,1,0,0,1,1,1,3,1,2,2,2,0,2,2,2,2,1,2,2,0,0,0,1,1,3,2,1,3,1,1
R00-TCV,1,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,2,0,0,,,,2,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,3,2,0,0,0,0,2,3,0,0,3,0,0,2,,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,,2,2,2,3,1,0,3,0,0,0,3,3,0,1,2,2,1,2,0,2,2,0,2,2,3,2,1,0,0,0,0,0,3,2,2,2,2,2,,2
R00-TOC,0,0,,,,,,,0,,,0,,0,,0,,2,0,0,0,0,0,0,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,,2,2,2,2,0,2,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,2,,,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,1,2,,,0,,,2,2,0,0,2,2,2,3
R00-V1,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,3,0,3,0,3,0,0,0,,0,0,0,0,0,,,0,,0,3,0,0,0,0,0,2,3
R00-V2,0,2,,,,,,2,0,,,2,,0,,0,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,,1,0,,3,2,3,2,1,2,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,2,0,2,2,,0,1,2,1,2,1,1,3,2,2,2,2,0,2,2,1,1,2,3,2,1,,0,2,2,0,2,2,2,2,2
